file_id,triangles,bin,license,relative_path
1582384,100,0,"Creative Commons - Attribution - Share Alike",Models/thingi10k/1582384.gltf
904473,116,0,"Creative Commons - Attribution - Share Alike",Models/thingi10k/904473.gltf
43780,120,0,"Creative Commons - Attribution - Share Alike",Models/thingi10k/43780.gltf
60246,124,0,"Creative Commons - Attribution - Share Alike",Models/thingi10k/60246.gltf
45409,128,0,"Creative Commons - Attribution - Share Alike",Models/thingi10k/45409.gltf
214479,132,0,"Creative Commons - Attribution",Models/thingi10k/214479.gltf
101170,144,0,"Creative Commons - Attribution - Share Alike",Models/thingi10k/101170.gltf
497978,180,0,"Attribution - Non-Commercial - Share Alike",Models/thingi10k/497978.gltf
265592,182,0,"Creative Commons - Attribution - Share Alike",Models/thingi10k/265592.gltf
91656,192,0,"Creative Commons - Attribution",Models/thingi10k/91656.gltf
136935,200,0,"Attribution - Non-Commercial - Share Alike",Models/thingi10k/136935.gltf
68651,204,0,"Creative Commons - Attribution",Models/thingi10k/68651.gltf
112997,204,0,"Creative Commons - Attribution",Models/thingi10k/112997.gltf
76199,216,0,"Creative Commons - Attribution - Share Alike",Models/thingi10k/76199.gltf
42634,224,0,"Creative Commons - Attribution - Non-Commercial",Models/thingi10k/42634.gltf
116069,230,0,"Creative Commons - Attribution - Share Alike",Models/thingi10k/116069.gltf
40844,250,0,"Creative Commons - Attribution - Share Alike",Models/thingi10k/40844.gltf
46519,256,0,"Attribution - Non-Commercial - Share Alike",Models/thingi10k/46519.gltf
702385,260,0,"Creative Commons - Attribution - Share Alike",Models/thingi10k/702385.gltf
130980,268,0,"Creative Commons - Attribution - Share Alike",Models/thingi10k/130980.gltf
721775,316,1,"Attribution - Non-Commercial - Share Alike",Models/thingi10k/721775.gltf
57419,344,1,"Attribution - Non-Commercial - Share Alike",Models/thingi10k/57419.gltf
71461,366,1,"Creative Commons - Attribution",Models/thingi10k/71461.gltf
40311,376,1,"Creative Commons - Attribution - Share Alike",Models/thingi10k/40311.gltf
69917,376,1,"Creative Commons - Public Domain Dedication",Models/thingi10k/69917.gltf
217015,400,1,"Creative Commons - Public Domain Dedication",Models/thingi10k/217015.gltf
227387,444,1,"Creative Commons - Attribution",Models/thingi10k/227387.gltf
1582406,456,1,"Creative Commons - Attribution - Share Alike",Models/thingi10k/1582406.gltf
1018273,480,1,"Creative Commons - Attribution - Share Alike",Models/thingi10k/1018273.gltf
375271,482,1,"Creative Commons - Attribution",Models/thingi10k/375271.gltf
96662,484,1,"Creative Commons - Attribution",Models/thingi10k/96662.gltf
472065,508,1,"Creative Commons - Attribution",Models/thingi10k/472065.gltf
500098,508,1,"Creative Commons - Attribution",Models/thingi10k/500098.gltf
50649,516,1,"Attribution - Non-Commercial - Share Alike",Models/thingi10k/50649.gltf
464842,528,1,"Attribution - Non-Commercial - Share Alike",Models/thingi10k/464842.gltf
500092,528,1,"Creative Commons - Attribution",Models/thingi10k/500092.gltf
271304,540,1,"Creative Commons - Attribution - Share Alike",Models/thingi10k/271304.gltf
44060,544,1,"GNU - GPL",Models/thingi10k/44060.gltf
80945,548,1,"Creative Commons - Attribution",Models/thingi10k/80945.gltf
227615,644,1,"Attribution - Non-Commercial - Share Alike",Models/thingi10k/227615.gltf
69088,864,2,"Creative Commons - Attribution",Models/thingi10k/69088.gltf
81260,900,2,"Creative Commons - Attribution",Models/thingi10k/81260.gltf
