frame,clipTime,clipDuration,elapsedTime,jfaMs,unifiedMs,selectedCameras
101,1.27019,2,3.27019,13.4628,1.34144,0
102,1.30492,2,3.30492,13.0885,1.24518,0
103,1.3339,2,3.3339,11.1817,1.75104,0
104,1.36689,2,3.36689,12.4517,1.24141,0
105,1.39976,2,3.39976,11.73,1.13693,0
106,1.4332,2,3.4332,11.8464,1.1463,0
107,1.46553,2,3.46553,10.9013,1.73299,0
108,1.49734,2,3.49734,10.4688,1.24672,0
109,1.53034,2,3.53034,11.061,1.82115,0
110,1.56169,2,3.56169,11.8448,1.16253,0
111,1.59369,2,3.59369,11.1438,1.77971,0
112,1.62715,2,3.62715,11.3216,1.50323,0
113,1.6596,2,3.6596,11.8061,1.23882,0
114,1.69309,2,3.69309,10.953,1.24458,0
115,1.72486,2,3.72486,12.5777,1.13869,0
116,1.75802,2,3.75802,12.1801,1.14912,0
117,1.79104,2,3.79104,11.7256,1.13603,0
118,1.82425,2,3.82425,11.1715,1.22538,0
119,1.85753,2,3.85753,10.1729,1.13869,0
120,1.88948,2,3.88948,10.6934,1.17712,0
121,1.92216,2,3.92216,10.3717,1.23565,0
122,1.95523,2,3.95523,11.8436,1.23421,0
123,1.98855,2,3.98855,10.8832,1.33325,0
124,0.0218425,2,4.02184,11.3335,1.25811,0
125,0.0542793,2,4.05428,11.436,1.14038,0
126,0.0877147,2,4.08771,10.917,1.18403,0
127,0.120803,2,4.1208,10.0626,1.37216,0
128,0.154093,2,4.15409,10.3885,1.35562,0
129,0.187295,2,4.1873,10.4018,1.1385,0
130,0.220296,2,4.2203,10.3783,1.14512,0
131,0.253608,2,4.25361,10.9046,1.21037,0
132,0.286814,2,4.28681,9.81456,1.40355,0
133,0.319911,2,4.31991,10.9633,1.33744,0
134,0.353221,2,4.35322,9.97568,1.1488,0
135,0.386426,2,4.38643,9.74291,1.18182,0
136,0.419839,2,4.41984,10.6691,1.11923,0
137,0.451912,2,4.45191,9.81731,1.30198,0
138,0.485216,2,4.48522,9.37194,1.14918,0
139,0.518217,2,4.51822,10.4052,1.1281,0
140,0.551607,2,4.55161,9.55859,1.13274,0
141,0.583726,2,4.58373,10.9317,1.15299,0
142,0.61716,2,4.61716,10.5643,1.29824,0
143,0.650454,2,4.65045,9.72186,1.14726,0
144,0.683614,2,4.68361,11.1047,1.33328,0
145,0.715505,2,4.7155,10.6982,1.14483,0
146,0.748804,2,4.7488,10.0446,1.20013,0
147,0.780786,2,4.78079,10.832,1.22083,0
148,0.814171,2,4.81417,10.5634,1.14794,0
149,0.847409,2,4.84741,10.0661,1.15722,0
150,0.88059,2,4.88059,11.151,1.14045,0
151,0.913868,2,4.91387,10.7468,1.19808,0
152,0.94694,2,4.94694,10.2144,1.35987,0
153,0.979971,2,4.97997,11.1259,1.32301,0
154,1.01319,2,5.01319,11.5252,1.15798,0
155,1.04661,2,5.04661,11.904,1.26154,0
156,1.07851,2,5.07851,10.9101,1.24518,0
157,1.11195,2,5.11195,10.0655,1.31277,0
158,1.14505,2,5.14505,11.0313,1.36541,0
159,1.17817,2,5.17817,10.3088,1.14256,0
160,1.21158,2,5.21158,9.92157,1.15539,0
161,1.24468,2,5.24468,12.7442,1.11542,0
162,1.27702,2,5.27702,9.95472,1.2247,0
163,1.31017,2,5.31017,10.1137,1.1121,0
164,1.34347,2,5.34347,10.5805,1.12128,0
165,1.3765,2,5.3765,9.71568,1.14278,0
166,1.40978,2,5.40978,10.7506,1.11187,0
167,1.44133,2,5.44133,10.3094,1.35578,0
168,1.47439,2,5.47439,9.2985,1.15978,0
169,1.50692,2,5.50692,10.1912,1.15712,0
170,1.54023,2,5.54023,10.0349,1.14278,0
171,1.57288,2,5.57288,9.48419,1.2448,0
172,1.60626,2,5.60626,10.671,1.22112,0
173,1.63822,2,5.63822,9.93818,1.13187,0
174,1.67161,2,5.67161,9.85373,1.15229,0
175,1.7045,2,5.7045,10.7693,1.15712,0
176,1.73769,2,5.73769,10.1493,1.15795,0
177,1.76966,2,5.76966,10.0958,1.25542,0
178,1.80268,2,5.80268,10.5521,1.38378,0
179,1.83572,2,5.83572,10.0619,1.16739,0
180,1.86911,2,5.86911,10.6829,1.14662,0
181,1.90241,2,5.90241,10.8934,1.16294,0
182,1.93556,2,5.93556,10.1067,1.3185,0
183,1.96884,2,5.96884,11.1472,1.30326,0
184,0.00206089,2,6.00206,11.8052,1.29994,0
185,0.0352907,2,6.03529,10.2024,1.15494,0
186,0.0682459,2,6.06825,11.4241,1.13254,0
187,0.101275,2,6.10128,10.1668,1.2247,0
188,0.134523,2,6.13452,11.7364,1.20218,0
189,0.167485,2,6.16749,11.0445,1.35987,0
190,0.200675,2,6.20068,10.1005,1.15715,0
191,0.233952,2,6.23395,11.0245,1.13459,0
192,0.266186,2,6.26619,10.2803,1.22541,0
193,0.29923,2,6.29923,9.74608,1.16339,0
194,0.332668,2,6.33267,10.7194,1.32355,0
195,0.364253,2,6.36425,10.0717,1.14608,0
196,0.397524,2,6.39752,9.87347,1.15997,0
197,0.429558,2,6.42956,10.4206,1.22851,0
198,0.463005,2,6.46301,9.46806,1.14941,0
199,0.495981,2,6.49598,9.80182,1.13741,0
200,0.529287,2,6.52929,9.92326,1.13382,0
201,0.561711,2,6.56171,10.86,1.19786,0
