frame,clipTime,clipDuration,elapsedTime,jfaMs,unifiedMs,selectedCameras
101,1.76359,4.08333,1.76359,6.21238,2.01005,127
102,1.77841,4.08333,1.77841,6.05626,2.38922,129
103,1.79317,4.08333,1.79317,6.89914,2.00877,130
104,1.80657,4.08333,1.80657,6.20938,2.01114,129
105,1.82016,4.08333,1.82016,6.19533,2.01206,127
106,1.83247,4.08333,1.83247,6.41386,2.01546,127
107,1.84525,4.08333,1.84525,6.18989,2.01494,128
108,1.85778,4.08333,1.85778,6.18621,2.01293,127
109,1.87126,4.08333,1.87126,5.70045,2.00704,127
110,1.88372,4.08333,1.88372,6.44365,2.00909,127
111,1.89641,4.08333,1.89641,6.1711,2.01014,123
112,1.90869,4.08333,1.90869,6.17018,2.01053,123
113,1.9213,4.08333,1.9213,6.41757,2.00512,125
114,1.93398,4.08333,1.93398,6.15971,2.00528,124
115,1.94653,4.08333,1.94653,6.16973,2.01536,117
116,1.95881,4.08333,1.95881,6.18019,2.50003,115
117,1.97206,4.08333,1.97206,6.19773,2.01853,114
118,1.98531,4.08333,1.98531,6.22432,2.0201,118
119,1.99795,4.08333,1.99795,6.19904,2.01786,113
120,2.01143,4.08333,2.01143,6.22979,2.0175,107
121,2.02407,4.08333,2.02407,6.57491,2.01843,105
122,2.03718,4.08333,2.03718,6.21517,2.34474,106
123,2.05093,4.08333,2.05093,6.24854,2.01683,105
124,2.06347,4.08333,2.06347,6.22,2.01728,108
125,2.07599,4.08333,2.07599,6.07146,2.02704,107
126,2.08941,4.08333,2.08941,6.25136,2.02685,106
127,2.10185,4.08333,2.10185,6.19238,2.01632,106
128,2.11435,4.08333,2.11435,6.55808,2.01382,99
129,2.1275,4.08333,2.1275,6.49696,2.02627,99
130,2.14092,4.08333,2.14092,5.71923,2.01891,101
131,2.15946,4.08333,2.15946,5.75574,2.02211,100
132,2.17734,4.08333,2.17734,6.49626,2.02547,94
133,2.19019,4.08333,2.19019,6.26499,2.0112,100
134,2.20271,4.08333,2.20271,5.70803,2.01062,101
135,2.2155,4.08333,2.2155,6.26083,2.01318,98
136,2.22851,4.08333,2.22851,6.21226,2.01181,102
137,2.24095,4.08333,2.24095,6.18365,2.0144,104
138,2.25356,4.08333,2.25356,6.24662,2.01117,105
139,2.26651,4.08333,2.26651,6.4537,2.01651,105
140,2.27944,4.08333,2.27944,6.22701,2.00851,105
141,2.29243,4.08333,2.29243,7.23603,2.31254,102
142,2.30771,4.08333,2.30771,6.87059,2.00922,101
143,2.32126,4.08333,2.32126,6.23725,2.01142,102
144,2.33362,4.08333,2.33362,6.24406,2.00896,100
145,2.3461,4.08333,2.3461,5.76627,2.01046,98
146,2.35837,4.08333,2.35837,6.596,2.00886,98
147,2.3714,4.08333,2.3714,6.59171,2.0176,97
148,2.38477,4.08333,2.38477,5.8343,2.01014,99
149,2.39795,4.08333,2.39795,6.30838,2.00838,100
150,2.41086,4.08333,2.41086,6.24675,2.0119,102
151,2.42379,4.08333,2.42379,6.56208,2.00573,101
152,2.43741,4.08333,2.43741,6.22384,2.00339,102
153,2.45147,4.08333,2.45147,9.12595,2.01318,103
154,2.46996,4.08333,2.46996,6.20595,2.50438,106
155,2.48305,4.08333,2.48305,6.57213,2.00499,104
156,2.49615,4.08333,2.49615,6.17229,2.00685,107
157,2.50932,4.08333,2.50932,6.56541,2.41869,106
158,2.5226,4.08333,2.5226,6.40864,2.00394,114
159,2.53661,4.08333,2.53661,6.18,2.42694,114
160,2.54967,4.08333,2.54967,6.10883,2.00438,112
161,2.56296,4.08333,2.56296,6.15536,2.00371,113
162,2.57578,4.08333,2.57578,6.28896,2.42138,115
163,2.58888,4.08333,2.58888,6.11539,2.0032,115
164,2.60243,4.08333,2.60243,6.13357,2.0287,124
165,2.61504,4.08333,2.61504,6.11395,2.00685,124
166,2.62758,4.08333,2.62758,6.08387,2.00032,126
167,2.64028,4.08333,2.64028,6.13142,2.00083,124
168,2.65321,4.08333,2.65321,6.25341,2.41629,126
169,2.6662,4.08333,2.6662,6.05715,2.00294,127
170,2.67878,4.08333,2.67878,6.08893,2.32454,127
171,2.69193,4.08333,2.69193,6.09616,2.43027,130
172,2.70451,4.08333,2.70451,6.47002,2.00586,127
173,2.7176,4.08333,2.7176,6.07962,2.0041,128
174,2.73146,4.08333,2.73146,6.48362,2.00499,128
175,2.7448,4.08333,2.7448,6.39946,2.00362,128
176,2.75775,4.08333,2.75775,6.06592,2.0055,129
177,2.76996,4.08333,2.76996,6.08778,2.00294,128
178,2.78259,4.08333,2.78259,6.10694,2.0017,129
179,2.79535,4.08333,2.79535,6.22054,2.0153,131
180,2.80822,4.08333,2.80822,6.07059,2.30026,131
181,2.82087,4.08333,2.82087,6.07274,2.01354,131
182,2.83385,4.08333,2.83385,6.09811,2.0009,132
183,2.84645,4.08333,2.84645,6.05459,2.00563,130
184,2.85906,4.08333,2.85906,6.0815,2.00298,129
185,2.87212,4.08333,2.87212,6.09494,2.01014,129
186,2.88704,4.08333,2.88704,6.0759,2.00429,129
187,2.90137,4.08333,2.90137,6.10506,2.00138,129
188,2.91394,4.08333,2.91394,6.35133,2.0063,130
189,2.9267,4.08333,2.9267,6.06288,2.00371,130
190,2.9395,4.08333,2.9395,6.06931,2.00922,129
191,2.95275,4.08333,2.95275,6.07258,2.00669,129
192,2.96677,4.08333,2.96677,6.35155,2.00294,130
193,2.97985,4.08333,2.97985,6.07923,2.00176,131
194,2.99326,4.08333,2.99326,5.68419,2.00362,130
195,3.00601,4.08333,3.00601,6.08992,2.00653,130
196,3.01891,4.08333,3.01891,6.2679,2.01523,130
197,3.03209,4.08333,3.03209,5.67344,2.0055,130
198,3.04568,4.08333,3.04568,6.08944,2.01267,131
199,3.05831,4.08333,3.05831,6.06982,2.00064,131
200,3.07213,4.08333,3.07213,6.38739,2.00109,131
